demojized,description
:woman_rowing_boat_medium-dark_skin_tone:,"boat, medium-dark skin tone, rowboat, woman, woman rowing boat, woman, rowing, boat:, medium-dark, skin, tone"
:woman_rowing_boat_dark_skin_tone:,"boat, dark skin tone, rowboat, woman, woman rowing boat, woman, rowing, boat:, dark, skin, tone"
:person_swimming:,"person swimming, swim, person, swimming"
:person_swimming_light_skin_tone:,"light skin tone, person swimming, swim, person, swimming:, light, skin, tone"
:person_swimming_medium-light_skin_tone:,"medium-light skin tone, person swimming, swim, person, swimming:, medium-light, skin, tone"
:person_swimming_medium_skin_tone:,"medium skin tone, person swimming, swim, person, swimming:, medium, skin, tone"
:person_swimming_medium-dark_skin_tone:,"medium-dark skin tone, person swimming, swim, person, swimming:, medium-dark, skin, tone"
:person_swimming_dark_skin_tone:,"dark skin tone, person swimming, swim, person, swimming:, dark, skin, tone"
:man_swimming:,"man, man swimming, swim, man, swimming"
:man_swimming_light_skin_tone:,"light skin tone, man, man swimming, swim, man, swimming:, light, skin, tone"
:man_swimming_medium-light_skin_tone:,"man, man swimming, medium-light skin tone, swim, man, swimming:, medium-light, skin, tone"
:man_swimming_medium_skin_tone:,"man, man swimming, medium skin tone, swim, man, swimming:, medium, skin, tone"
:man_swimming_medium-dark_skin_tone:,"man, man swimming, medium-dark skin tone, swim, man, swimming:, medium-dark, skin, tone"
:man_swimming_dark_skin_tone:,"dark skin tone, man, man swimming, swim, man, swimming:, dark, skin, tone"
:woman_swimming:,"swim, woman, woman swimming, woman, swimming"
:woman_swimming_light_skin_tone:,"light skin tone, swim, woman, woman swimming, woman, swimming:, light, skin, tone"
:woman_swimming_medium-light_skin_tone:,"medium-light skin tone, swim, woman, woman swimming, woman, swimming:, medium-light, skin, tone"
:woman_swimming_medium_skin_tone:,"medium skin tone, swim, woman, woman swimming, woman, swimming:, medium, skin, tone"
:woman_swimming_medium-dark_skin_tone:,"medium-dark skin tone, swim, woman, woman swimming, woman, swimming:, medium-dark, skin, tone"
:woman_swimming_dark_skin_tone:,"dark skin tone, swim, woman, woman swimming, woman, swimming:, dark, skin, tone"
:person_bouncing_ball:,"ball, person bouncing ball, person, bouncing, ball"
:person_bouncing_ball_light_skin_tone:,"ball, light skin tone, person bouncing ball, person, bouncing, ball:, light, skin, tone"
:person_bouncing_ball_medium-light_skin_tone:,"ball, medium-light skin tone, person bouncing ball, person, bouncing, ball:, medium-light, skin, tone"
:person_bouncing_ball_medium_skin_tone:,"ball, medium skin tone, person bouncing ball, person, bouncing, ball:, medium, skin, tone"
:person_bouncing_ball_medium-dark_skin_tone:,"ball, medium-dark skin tone, person bouncing ball, person, bouncing, ball:, medium-dark, skin, tone"
:person_bouncing_ball_dark_skin_tone:,"ball, dark skin tone, person bouncing ball, person, bouncing, ball:, dark, skin, tone"
:man_bouncing_ball:,"ball, man, man bouncing ball, man, bouncing, ball"
:man_bouncing_ball_light_skin_tone:,"ball, light skin tone, man, man bouncing ball, man, bouncing, ball:, light, skin, tone"
:man_bouncing_ball_medium-light_skin_tone:,"ball, man, man bouncing ball, medium-light skin tone, man, bouncing, ball:, medium-light, skin, tone"
:man_bouncing_ball_medium_skin_tone:,"ball, man, man bouncing ball, medium skin tone, man, bouncing, ball:, medium, skin, tone"
:man_bouncing_ball_medium-dark_skin_tone:,"ball, man, man bouncing ball, medium-dark skin tone, man, bouncing, ball:, medium-dark, skin, tone"
:man_bouncing_ball_dark_skin_tone:,"ball, dark skin tone, man, man bouncing ball, man, bouncing, ball:, dark, skin, tone"
:woman_bouncing_ball:,"ball, woman, woman bouncing ball, woman, bouncing, ball"
:woman_bouncing_ball_light_skin_tone:,"ball, light skin tone, woman, woman bouncing ball, woman, bouncing, ball:, light, skin, tone"
:woman_bouncing_ball_medium-light_skin_tone:,"ball, medium-light skin tone, woman, woman bouncing ball, woman, bouncing, ball:, medium-light, skin, tone"
:woman_bouncing_ball_medium_skin_tone:,"ball, medium skin tone, woman, woman bouncing ball, woman, bouncing, ball:, medium, skin, tone"
:woman_bouncing_ball_medium-dark_skin_tone:,"ball, medium-dark skin tone, woman, woman bouncing ball, woman, bouncing, ball:, medium-dark, skin, tone"
:woman_bouncing_ball_dark_skin_tone:,"ball, dark skin tone, woman, woman bouncing ball, woman, bouncing, ball:, dark, skin, tone"
:person_lifting_weights:,"lifter, person lifting weights, weight, person, lifting, weights"
:person_lifting_weights_light_skin_tone:,"lifter, light skin tone, person lifting weights, weight, person, lifting, weights:, light, skin, tone"
:person_lifting_weights_medium-light_skin_tone:,"lifter, medium-light skin tone, person lifting weights, weight, person, lifting, weights:, medium-light, skin, tone"
:person_lifting_weights_medium_skin_tone:,"lifter, medium skin tone, person lifting weights, weight, person, lifting, weights:, medium, skin, tone"
:person_lifting_weights_medium-dark_skin_tone:,"lifter, medium-dark skin tone, person lifting weights, weight, person, lifting, weights:, medium-dark, skin, tone"
:person_lifting_weights_dark_skin_tone:,"dark skin tone, lifter, person lifting weights, weight, person, lifting, weights:, dark, skin, tone"
:man_lifting_weights:,"man, man lifting weights, weight lifter, man, lifting, weights"
:man_lifting_weights_light_skin_tone:,"light skin tone, man, man lifting weights, weight lifter, man, lifting, weights:, light, skin, tone"
:man_lifting_weights_medium-light_skin_tone:,"man, man lifting weights, medium-light skin tone, weight lifter, man, lifting, weights:, medium-light, skin, tone"
:man_lifting_weights_medium_skin_tone:,"man, man lifting weights, medium skin tone, weight lifter, man, lifting, weights:, medium, skin, tone"
:man_lifting_weights_medium-dark_skin_tone:,"man, man lifting weights, medium-dark skin tone, weight lifter, man, lifting, weights:, medium-dark, skin, tone"
:man_lifting_weights_dark_skin_tone:,"dark skin tone, man, man lifting weights, weight lifter, man, lifting, weights:, dark, skin, tone"
:woman_lifting_weights:,"weight lifter, woman, woman lifting weights, woman, lifting, weights"
:woman_lifting_weights_light_skin_tone:,"light skin tone, weight lifter, woman, woman lifting weights, woman, lifting, weights:, light, skin, tone"
:woman_lifting_weights_medium-light_skin_tone:,"medium-light skin tone, weight lifter, woman, woman lifting weights, woman, lifting, weights:, medium-light, skin, tone"
:woman_lifting_weights_medium_skin_tone:,"medium skin tone, weight lifter, woman, woman lifting weights, woman, lifting, weights:, medium, skin, tone"
:woman_lifting_weights_medium-dark_skin_tone:,"medium-dark skin tone, weight lifter, woman, woman lifting weights, woman, lifting, weights:, medium-dark, skin, tone"
:woman_lifting_weights_dark_skin_tone:,"dark skin tone, weight lifter, woman, woman lifting weights, woman, lifting, weights:, dark, skin, tone"
:person_biking:,"bicycle, biking, cyclist, person biking, person, biking"
:person_biking_light_skin_tone:,"bicycle, biking, cyclist, light skin tone, person biking, person, biking:, light, skin, tone"
:person_biking_medium-light_skin_tone:,"bicycle, biking, cyclist, medium-light skin tone, person biking, person, biking:, medium-light, skin, tone"
:person_biking_medium_skin_tone:,"bicycle, biking, cyclist, medium skin tone, person biking, person, biking:, medium, skin, tone"
:person_biking_medium-dark_skin_tone:,"bicycle, biking, cyclist, medium-dark skin tone, person biking, person, biking:, medium-dark, skin, tone"
:person_biking_dark_skin_tone:,"bicycle, biking, cyclist, dark skin tone, person biking, person, biking:, dark, skin, tone"
:man_biking:,"bicycle, biking, cyclist, man, man, biking"
:man_biking_light_skin_tone:,"bicycle, biking, cyclist, light skin tone, man, man, biking:, light, skin, tone"
:man_biking_medium-light_skin_tone:,"bicycle, biking, cyclist, man, medium-light skin tone, man, biking:, medium-light, skin, tone"
:man_biking_medium_skin_tone:,"bicycle, biking, cyclist, man, medium skin tone, man, biking:, medium, skin, tone"
:man_biking_medium-dark_skin_tone:,"bicycle, biking, cyclist, man, medium-dark skin tone, man, biking:, medium-dark, skin, tone"
:man_biking_dark_skin_tone:,"bicycle, biking, cyclist, dark skin tone, man, man, biking:, dark, skin, tone"
:woman_biking:,"bicycle, biking, cyclist, woman, woman, biking"
:woman_biking_light_skin_tone:,"bicycle, biking, cyclist, light skin tone, woman, woman, biking:, light, skin, tone"
:woman_biking_medium-light_skin_tone:,"bicycle, biking, cyclist, medium-light skin tone, woman, woman, biking:, medium-light, skin, tone"
:woman_biking_medium_skin_tone:,"bicycle, biking, cyclist, medium skin tone, woman, woman, biking:, medium, skin, tone"
:woman_biking_medium-dark_skin_tone:,"bicycle, biking, cyclist, medium-dark skin tone, woman, woman, biking:, medium-dark, skin, tone"
:woman_biking_dark_skin_tone:,"bicycle, biking, cyclist, dark skin tone, woman, woman, biking:, dark, skin, tone"
:person_mountain_biking:,"bicycle, bicyclist, bike, cyclist, mountain, person mountain biking, person, mountain, biking"
:person_mountain_biking_light_skin_tone:,"bicycle, bicyclist, bike, cyclist, light skin tone, mountain, person mountain biking, person, mountain, biking:, light, skin, tone"
:person_mountain_biking_medium-light_skin_tone:,"bicycle, bicyclist, bike, cyclist, medium-light skin tone, mountain, person mountain biking, person, mountain, biking:, medium-light, skin, tone"
:person_mountain_biking_medium_skin_tone:,"bicycle, bicyclist, bike, cyclist, medium skin tone, mountain, person mountain biking, person, mountain, biking:, medium, skin, tone"
:person_mountain_biking_medium-dark_skin_tone:,"bicycle, bicyclist, bike, cyclist, medium-dark skin tone, mountain, person mountain biking, person, mountain, biking:, medium-dark, skin, tone"
:person_mountain_biking_dark_skin_tone:,"bicycle, bicyclist, bike, cyclist, dark skin tone, mountain, person mountain biking, person, mountain, biking:, dark, skin, tone"
:man_mountain_biking:,"bicycle, bike, cyclist, man, man mountain biking, mountain, man, mountain, biking"
:man_mountain_biking_light_skin_tone:,"bicycle, bike, cyclist, light skin tone, man, man mountain biking, mountain, man, mountain, biking:, light, skin, tone"
:man_mountain_biking_medium-light_skin_tone:,"bicycle, bike, cyclist, man, man mountain biking, medium-light skin tone, mountain, man, mountain, biking:, medium-light, skin, tone"
:man_mountain_biking_medium_skin_tone:,"bicycle, bike, cyclist, man, man mountain biking, medium skin tone, mountain, man, mountain, biking:, medium, skin, tone"
:man_mountain_biking_medium-dark_skin_tone:,"bicycle, bike, cyclist, man, man mountain biking, medium-dark skin tone, mountain, man, mountain, biking:, medium-dark, skin, tone"
:man_mountain_biking_dark_skin_tone:,"bicycle, bike, cyclist, dark skin tone, man, man mountain biking, mountain, man, mountain, biking:, dark, skin, tone"
:woman_mountain_biking:,"bicycle, bike, biking, cyclist, mountain, woman, woman, mountain, biking"
:woman_mountain_biking_light_skin_tone:,"bicycle, bike, biking, cyclist, light skin tone, mountain, woman, woman, mountain, biking:, light, skin, tone"
:woman_mountain_biking_medium-light_skin_tone:,"bicycle, bike, biking, cyclist, medium-light skin tone, mountain, woman, woman, mountain, biking:, medium-light, skin, tone"
:woman_mountain_biking_medium_skin_tone:,"bicycle, bike, biking, cyclist, medium skin tone, mountain, woman, woman, mountain, biking:, medium, skin, tone"
:woman_mountain_biking_medium-dark_skin_tone:,"bicycle, bike, biking, cyclist, medium-dark skin tone, mountain, woman, woman, mountain, biking:, medium-dark, skin, tone"
:woman_mountain_biking_dark_skin_tone:,"bicycle, bike, biking, cyclist, dark skin tone, mountain, woman, woman, mountain, biking:, dark, skin, tone"
:person_cartwheeling:,"cartwheel, gymnastics, person cartwheeling, person, cartwheeling"
:person_cartwheeling_light_skin_tone:,"cartwheel, gymnastics, light skin tone, person cartwheeling, person, cartwheeling:, light, skin, tone"
:person_cartwheeling_medium-light_skin_tone:,"cartwheel, gymnastics, medium-light skin tone, person cartwheeling, person, cartwheeling:, medium-light, skin, tone"
:person_cartwheeling_medium_skin_tone:,"cartwheel, gymnastics, medium skin tone, person cartwheeling, person, cartwheeling:, medium, skin, tone"
:person_cartwheeling_medium-dark_skin_tone:,"cartwheel, gymnastics, medium-dark skin tone, person cartwheeling, person, cartwheeling:, medium-dark, skin, tone"
:person_cartwheeling_dark_skin_tone:,"cartwheel, dark skin tone, gymnastics, person cartwheeling, person, cartwheeling:, dark, skin, tone"
:man_cartwheeling:,"cartwheel, gymnastics, man, man cartwheeling, man, cartwheeling"
:man_cartwheeling_light_skin_tone:,"cartwheel, gymnastics, light skin tone, man, man cartwheeling, man, cartwheeling:, light, skin, tone"
:man_cartwheeling_medium-light_skin_tone:,"cartwheel, gymnastics, man, man cartwheeling, medium-light skin tone, man, cartwheeling:, medium-light, skin, tone"
:man_cartwheeling_medium_skin_tone:,"cartwheel, gymnastics, man, man cartwheeling, medium skin tone, man, cartwheeling:, medium, skin, tone"
:man_cartwheeling_medium-dark_skin_tone:,"cartwheel, gymnastics, man, man cartwheeling, medium-dark skin tone, man, cartwheeling:, medium-dark, skin, tone"
:man_cartwheeling_dark_skin_tone:,"cartwheel, dark skin tone, gymnastics, man, man cartwheeling, man, cartwheeling:, dark, skin, tone"
:woman_cartwheeling:,"cartwheel, gymnastics, woman, woman cartwheeling, woman, cartwheeling"
:woman_cartwheeling_light_skin_tone:,"cartwheel, gymnastics, light skin tone, woman, woman cartwheeling, woman, cartwheeling:, light, skin, tone"
:woman_cartwheeling_medium-light_skin_tone:,"cartwheel, gymnastics, medium-light skin tone, woman, woman cartwheeling, woman, cartwheeling:, medium-light, skin, tone"
